MetroArea,TargetEthnicity,EthnicPop,MetroPop
"San Diego-Carlsbad, CA",India,22010,3253356
"San Francisco-Oakland-Hayward, CA",India,108685,4577530
"San Jose-Sunnyvale-Santa Clara, CA",India,110449,1943107
"Scranton--Wilkes-Barre--Hazleton, PA",India,2432,559898
"Seattle-Tacoma-Bellevue, WA",India,56416,3671095
"Springfield, MA",India,2203,629107
"St. Louis, MO-IL",India,13554,2803449
"Stockton-Lodi, CA",India,11658,714860
"Syracuse, NY",India,2014,660652
"Tallahassee, FL",India,2428,376337
"Tampa-St. Petersburg-Clearwater, FL",India,18205,2927714
"Trenton, NJ",India,11834,371101
"Tucson, AZ",India,2209,1003338
"Vallejo-Fairfield, CA",India,2981,429596
"Virginia Beach-Norfolk-Newport News, VA-NC",India,3981,1714428
"Washington-Arlington-Alexandria, DC-VA-MD-WV",India,93583,6011752
"Worcester, MA-CT",India,8721,930667
"Yuba City, CA",India,6774,169303
"Atlanta-Sandy Springs-Roswell, GA",Japan,5628,5612777
"Boston-Cambridge-Newton, MA-NH",Japan,6370,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Japan,9508,9528396
"Cincinnati, OH-KY-IN",Japan,2304,2146410
"Columbus, OH",Japan,2643,1995004
"Dallas-Fort Worth-Arlington, TX",Japan,3875,6957123
"Denver-Aurora-Lakewood, CO",Japan,2169,2752056
"Detroit-Warren-Dearborn, MI",Japan,5692,4296731
"Houston-The Woodlands-Sugar Land, TX",Japan,4347,6482592
"Las Vegas-Henderson-Paradise, NV",Japan,4009,2070153
"Los Angeles-Long Beach-Anaheim, CA",Japan,48372,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Japan,2472,5926955
"New York-Newark-Jersey City, NY-NJ-PA",Japan,36775,20031443
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Japan,2847,6047721
"Phoenix-Mesa-Scottsdale, AZ",Japan,3205,4486153
"Portland-Vancouver-Hillsboro, OR-WA",Japan,4865,2351319
"Riverside-San Bernardino-Ontario, CA",Japan,4798,4430646
"Sacramento--Roseville--Arden-Arcade, CA",Japan,3741,2242542
"San Diego-Carlsbad, CA",Japan,11150,3253356
"San Francisco-Oakland-Hayward, CA",Japan,17668,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Japan,11540,1943107
"Seattle-Tacoma-Bellevue, WA",Japan,12811,3671095
"Urban Honolulu, HI",Japan,20489,986999
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Japan,8022,6011752
"Albany-Schenectady-Troy, NY",Korea,2750,879291
"Anchorage, AK",Korea,2947,398000
"Ann Arbor, MI",Korea,2764,358082
"Atlanta-Sandy Springs-Roswell, GA",Korea,34349,5612777
"Austin-Round Rock, TX",Korea,4950,1942615
"Baltimore-Columbia-Towson, MD",Korea,19238,2780873
"Boston-Cambridge-Newton, MA-NH",Korea,14351,4728844
"Bridgeport-Stamford-Norwalk, CT",Korea,2377,941618
"Champaign-Urbana, IL",Korea,2318,236647
"Charlotte-Concord-Gastonia, NC-SC",Korea,3260,2381152
"Chicago-Naperville-Elgin, IL-IN-WI",Korea,38310,9528396
"Cincinnati, OH-KY-IN",Korea,2050,2146410
"Cleveland-Elyria, OH",Korea,2509,2061630
"Colorado Springs, CO",Korea,3623,688643
"Columbus, OH",Korea,3903,1995004
"Dallas-Fort Worth-Arlington, TX",Korea,23014,6957123
"Denver-Aurora-Lakewood, CO",Korea,9555,2752056
"Detroit-Warren-Dearborn, MI",Korea,8997,4296731
"Durham-Chapel Hill, NC",Korea,2291,542399
"Grand Rapids-Wyoming, MI",Korea,2383,1028173
"Hartford-West Hartford-East Hartford, CT",Korea,2699,1211826
"Houston-The Woodlands-Sugar Land, TX",Korea,11761,6482592
"Indianapolis-Carmel-Anderson, IN",Korea,2342,1968768
"Jacksonville, FL",Korea,2103,1424097
"Kansas City, MO-KS",Korea,3714,2070147
"Killeen-Temple, TX",Korea,2788,426926
"Las Vegas-Henderson-Paradise, NV",Korea,9676,2070153
"Los Angeles-Long Beach-Anaheim, CA",Korea,220673,13189366
"Madison, WI",Korea,2034,634269
"Miami-Fort Lauderdale-West Palm Beach, FL",Korea,3613,5926955
"Minneapolis-St. Paul-Bloomington, MN-WI",Korea,10738,3488436
"Montgomery, AL",Korea,2104,373963
"Nashville-Davidson--Murfreesboro--Franklin, TN",Korea,3072,1794570
"New York-Newark-Jersey City, NY-NJ-PA",Korea,147913,20031443
"Oklahoma City, OK",Korea,2463,1337075
"Olympia-Tumwater, WA",Korea,2353,266311
"Orlando-Kissimmee-Sanford, FL",Korea,4563,2328508
"Oxnard-Thousand Oaks-Ventura, CA",Korea,2610,843110
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Korea,24745,6047721
"Phoenix-Mesa-Scottsdale, AZ",Korea,7994,4486153
"Pittsburgh, PA",Korea,3286,2354926
"Portland-Vancouver-Hillsboro, OR-WA",Korea,9195,2351319
"Raleigh, NC",Korea,3457,1243720
"Richmond, VA",Korea,2989,1258158
"Riverside-San Bernardino-Ontario, CA",Korea,17973,4430646
"Rochester, NY",Korea,2023,1082226
"Sacramento--Roseville--Arden-Arcade, CA",Korea,7941,2242542
"Salt Lake City, UT",Korea,2410,1154504
"San Antonio-New Braunfels, TX",Korea,2902,2332345
"San Diego-Carlsbad, CA",Korea,15067,3253356
"San Francisco-Oakland-Hayward, CA",Korea,29325,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Korea,21099,1943107
"Seattle-Tacoma-Bellevue, WA",Korea,37651,3671095
"St. Louis, MO-IL",Korea,4198,2803449
"Tampa-St. Petersburg-Clearwater, FL",Korea,4074,2927714
"Trenton, NJ",Korea,2137,371101
"Urban Honolulu, HI",Korea,14790,986999
"Virginia Beach-Norfolk-Newport News, VA-NC",Korea,3937,1714428
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Korea,59212,6011752
"Atlanta-Sandy Springs-Roswell, GA",Laos,3860,5612777
"Boston-Cambridge-Newton, MA-NH",Laos,2039,4728844
"Charlotte-Concord-Gastonia, NC-SC",Laos,2313,2381152
"Chicago-Naperville-Elgin, IL-IN-WI",Laos,2608,9528396
"Dallas-Fort Worth-Arlington, TX",Laos,5538,6957123
"Denver-Aurora-Lakewood, CO",Laos,2182,2752056
"Fresno, CA",Laos,11918,963160
"Los Angeles-Long Beach-Anaheim, CA",Laos,5293,13189366
"Merced, CA",Laos,2461,265001
"Milwaukee-Waukesha-West Allis, WI",Laos,5133,1571730
"Minneapolis-St. Paul-Bloomington, MN-WI",Laos,23402,3488436
"Nashville-Davidson--Murfreesboro--Franklin, TN",Laos,3792,1794570
"Portland-Vancouver-Hillsboro, OR-WA",Laos,3651,2351319
"Riverside-San Bernardino-Ontario, CA",Laos,2703,4430646
"Sacramento--Roseville--Arden-Arcade, CA",Laos,11907,2242542
"San Diego-Carlsbad, CA",Laos,5170,3253356
"San Francisco-Oakland-Hayward, CA",Laos,5029,4577530
"Seattle-Tacoma-Bellevue, WA",Laos,5400,3671095
"Stockton-Lodi, CA",Laos,3264,714860
"Tampa-St. Petersburg-Clearwater, FL",Laos,2172,2927714
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Laos,2682,6011752
"Albany-Schenectady-Troy, NY",Pakistan,2181,879291
"Atlanta-Sandy Springs-Roswell, GA",Pakistan,9192,5612777
"Austin-Round Rock, TX",Pakistan,3476,1942615
"Baltimore-Columbia-Towson, MD",Pakistan,8409,2780873
"Boston-Cambridge-Newton, MA-NH",Pakistan,3689,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Pakistan,25508,9528396
"Dallas-Fort Worth-Arlington, TX",Pakistan,15679,6957123
"Detroit-Warren-Dearborn, MI",Pakistan,6226,4296731
"Hartford-West Hartford-East Hartford, CT",Pakistan,2266,1211826
"Houston-The Woodlands-Sugar Land, TX",Pakistan,28622,6482592
"Los Angeles-Long Beach-Anaheim, CA",Pakistan,13091,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Pakistan,6087,5926955
"New York-Newark-Jersey City, NY-NJ-PA",Pakistan,78119,20031443
"Orlando-Kissimmee-Sanford, FL",Pakistan,3587,2328508
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pakistan,8262,6047721
"Riverside-San Bernardino-Ontario, CA",Pakistan,4473,4430646
"Sacramento--Roseville--Arden-Arcade, CA",Pakistan,5646,2242542
"San Francisco-Oakland-Hayward, CA",Pakistan,8580,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Pakistan,4095,1943107
"Seattle-Tacoma-Bellevue, WA",Pakistan,3432,3671095
"St. Louis, MO-IL",Pakistan,2172,2803449
"Stockton-Lodi, CA",Pakistan,4040,714860
"Tampa-St. Petersburg-Clearwater, FL",Pakistan,2141,2927714
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Pakistan,28677,6011752
"Anchorage, AK",Philippines,8712,398000
"Atlanta-Sandy Springs-Roswell, GA",Philippines,9565,5612777
"Atlantic City-Hammonton, NJ",Philippines,2368,274026
"Austin-Round Rock, TX",Philippines,4657,1942615
"Bakersfield, CA",Philippines,10584,871337
"Baltimore-Columbia-Towson, MD",Philippines,14378,2780873
"Boston-Cambridge-Newton, MA-NH",Philippines,8626,4728844
"Bremerton-Silverdale, WA",Philippines,5235,257488
"Bridgeport-Stamford-Norwalk, CT",Philippines,3599,941618
"Charleston-North Charleston, SC",Philippines,3470,728271
"Charlotte-Concord-Gastonia, NC-SC",Philippines,3403,2381152
"Chicago-Naperville-Elgin, IL-IN-WI",Philippines,81586,9528396
"Cincinnati, OH-KY-IN",Philippines,2838,2146410
"Cleveland-Elyria, OH",Philippines,2626,2061630
"Colorado Springs, CO",Philippines,2555,688643
"Columbus, OH",Philippines,2739,1995004
"Dallas-Fort Worth-Arlington, TX",Philippines,24320,6957123
"Deltona-Daytona Beach-Ormond Beach, FL",Philippines,2761,613723
"Denver-Aurora-Lakewood, CO",Philippines,5112,2752056
"Detroit-Warren-Dearborn, MI",Philippines,11425,4296731
"Fresno, CA",Philippines,6082,963160
"Hanford-Corcoran, CA",Philippines,2369,150261
"Hartford-West Hartford-East Hartford, CT",Philippines,2849,1211826
"Houston-The Woodlands-Sugar Land, TX",Philippines,38464,6482592
"Indianapolis-Carmel-Anderson, IN",Philippines,2982,1968768
"Jacksonville, FL",Philippines,13423,1424097
"Kahului-Wailuku-Lahaina, HI",Philippines,18444,162547
"Kansas City, MO-KS",Philippines,3444,2070147
"Lakeland-Winter Haven, FL",Philippines,2371,637691
"Las Vegas-Henderson-Paradise, NV",Philippines,70555,2070153
"Los Angeles-Long Beach-Anaheim, CA",Philippines,293077,13189366
"McAllen-Edinburg-Mission, TX",Philippines,3054,828334
"Memphis, TN-MS-AR",Philippines,2713,1341339
"Miami-Fort Lauderdale-West Palm Beach, FL",Philippines,15792,5926955
"Milwaukee-Waukesha-West Allis, WI",Philippines,2065,1571730
"Minneapolis-St. Paul-Bloomington, MN-WI",Philippines,6354,3488436
"Modesto, CA",Philippines,3686,530561
"Napa, CA",Philippines,4334,140823
"Nashville-Davidson--Murfreesboro--Franklin, TN",Philippines,2236,1794570
"New York-Newark-Jersey City, NY-NJ-PA",Philippines,154674,20031443
"North Port-Sarasota-Bradenton, FL",Philippines,2056,751422
"Oklahoma City, OK",Philippines,2047,1337075
"Orlando-Kissimmee-Sanford, FL",Philippines,12646,2328508
"Oxnard-Thousand Oaks-Ventura, CA",Philippines,14377,843110
"Palm Bay-Melbourne-Titusville, FL",Philippines,2044,560683
"Pensacola-Ferry Pass-Brent, FL",Philippines,3710,473477
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philippines,19078,6047721
"Phoenix-Mesa-Scottsdale, AZ",Philippines,22260,4486153
"Pittsburgh, PA",Philippines,2035,2354926
"Portland-Vancouver-Hillsboro, OR-WA",Philippines,10721,2351319
"Providence-Warwick, RI-MA",Philippines,2773,1609359
"Raleigh, NC",Philippines,2500,1243720
"Reno, NV",Philippines,7603,443855
"Richmond, VA",Philippines,2818,1258158
"Riverside-San Bernardino-Ontario, CA",Philippines,62177,4430646
"Sacramento--Roseville--Arden-Arcade, CA",Philippines,36839,2242542
"Salinas, CA",Philippines,7436,430201
"Salt Lake City, UT",Philippines,2152,1154504
"San Antonio-New Braunfels, TX",Philippines,9305,2332345
"San Diego-Carlsbad, CA",Philippines,100564,3253356
"San Francisco-Oakland-Hayward, CA",Philippines,162737,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Philippines,60006,1943107
"Santa Maria-Santa Barbara, CA",Philippines,4448,439395
"Santa Rosa, CA",Philippines,2332,497776
"Seattle-Tacoma-Bellevue, WA",Philippines,47794,3671095
"St. Louis, MO-IL",Philippines,5343,2803449
"Stockton-Lodi, CA",Philippines,22062,714860
"Tampa-St. Petersburg-Clearwater, FL",Philippines,12042,2927714
"Tucson, AZ",Philippines,2812,1003338
"Urban Honolulu, HI",Philippines,81060,986999
"Vallejo-Fairfield, CA",Philippines,28386,429596
"Virginia Beach-Norfolk-Newport News, VA-NC",Philippines,20918,1714428
"Visalia-Porterville, CA",Philippines,4071,455769
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Philippines,48497,6011752
"Los Angeles-Long Beach-Anaheim, CA",Sri Lanka,7116,13189366
"New York-Newark-Jersey City, NY-NJ-PA",Sri Lanka,7636,20031443
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Sri Lanka,3491,6011752
"Atlanta-Sandy Springs-Roswell, GA",Taiwan,4996,5612777
"Austin-Round Rock, TX",Taiwan,3024,1942615
"Baltimore-Columbia-Towson, MD",Taiwan,2207,2780873
"Boston-Cambridge-Newton, MA-NH",Taiwan,7082,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Taiwan,8157,9528396
"Dallas-Fort Worth-Arlington, TX",Taiwan,9273,6957123
"Denver-Aurora-Lakewood, CO",Taiwan,2033,2752056
"Detroit-Warren-Dearborn, MI",Taiwan,2083,4296731
"Houston-The Woodlands-Sugar Land, TX",Taiwan,12104,6482592
"Las Vegas-Henderson-Paradise, NV",Taiwan,3501,2070153
"Los Angeles-Long Beach-Anaheim, CA",Taiwan,88590,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Taiwan,2403,5926955
"New York-Newark-Jersey City, NY-NJ-PA",Taiwan,42585,20031443
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Taiwan,4222,6047721
"Phoenix-Mesa-Scottsdale, AZ",Taiwan,2621,4486153
"Portland-Vancouver-Hillsboro, OR-WA",Taiwan,3156,2351319
"Riverside-San Bernardino-Ontario, CA",Taiwan,10697,4430646
"Sacramento--Roseville--Arden-Arcade, CA",Taiwan,3584,2242542
"San Diego-Carlsbad, CA",Taiwan,7435,3253356
"San Francisco-Oakland-Hayward, CA",Taiwan,28045,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Taiwan,28101,1943107
"Seattle-Tacoma-Bellevue, WA",Taiwan,11208,3671095
"Urban Honolulu, HI",Taiwan,2618,986999
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Taiwan,12394,6011752
"Anchorage, AK",Thailand,2272,398000
"Atlanta-Sandy Springs-Roswell, GA",Thailand,3845,5612777
"Boston-Cambridge-Newton, MA-NH",Thailand,4174,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Thailand,5985,9528396
"Dallas-Fort Worth-Arlington, TX",Thailand,4962,6957123
"Denver-Aurora-Lakewood, CO",Thailand,2345,2752056
"Fresno, CA",Thailand,5525,963160
"Houston-The Woodlands-Sugar Land, TX",Thailand,4568,6482592
"Las Vegas-Henderson-Paradise, NV",Thailand,4870,2070153
"Los Angeles-Long Beach-Anaheim, CA",Thailand,25688,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Thailand,3664,5926955
"Milwaukee-Waukesha-West Allis, WI",Thailand,3525,1571730
"Minneapolis-St. Paul-Bloomington, MN-WI",Thailand,15658,3488436
"New York-Newark-Jersey City, NY-NJ-PA",Thailand,9217,20031443
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Thailand,2262,6047721
"Phoenix-Mesa-Scottsdale, AZ",Thailand,3484,4486153
"Portland-Vancouver-Hillsboro, OR-WA",Thailand,3194,2351319
"Riverside-San Bernardino-Ontario, CA",Thailand,5025,4430646
"Sacramento--Roseville--Arden-Arcade, CA",Thailand,7613,2242542
"San Diego-Carlsbad, CA",Thailand,3061,3253356
"San Francisco-Oakland-Hayward, CA",Thailand,8140,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Thailand,2727,1943107
"Seattle-Tacoma-Bellevue, WA",Thailand,6184,3671095
"Stockton-Lodi, CA",Thailand,3198,714860
"Tampa-St. Petersburg-Clearwater, FL",Thailand,2427,2927714
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Thailand,8761,6011752
"Albuquerque, NM",Vietnam,2915,904486
"Atlanta-Sandy Springs-Roswell, GA",Vietnam,29995,5612777
"Atlantic City-Hammonton, NJ",Vietnam,3296,274026
"Austin-Round Rock, TX",Vietnam,12315,1942615
"Baltimore-Columbia-Towson, MD",Vietnam,4985,2780873
"Baton Rouge, LA",Vietnam,3674,824667
"Beaumont-Port Arthur, TX",Vietnam,2815,406506
"Boston-Cambridge-Newton, MA-NH",Vietnam,27769,4728844
"Charlotte-Concord-Gastonia, NC-SC",Vietnam,9305,2381152
"Chicago-Naperville-Elgin, IL-IN-WI",Vietnam,16502,9528396
"Cincinnati, OH-KY-IN",Vietnam,2833,2146410
"Columbus, OH",Vietnam,2731,1995004
"Dallas-Fort Worth-Arlington, TX",Vietnam,56374,6957123
"Denver-Aurora-Lakewood, CO",Vietnam,14174,2752056
"Des Moines-West Des Moines, IA",Vietnam,2831,611755
"Detroit-Warren-Dearborn, MI",Vietnam,5480,4296731
"Fresno, CA",Vietnam,2876,963160
"Grand Rapids-Wyoming, MI",Vietnam,4548,1028173
"Greensboro-High Point, NC",Vietnam,5170,746301
"Gulfport-Biloxi-Pascagoula, MS",Vietnam,2826,385448
"Harrisburg-Carlisle, PA",Vietnam,2013,561447
"Hartford-West Hartford-East Hartford, CT",Vietnam,2680,1211826
"Houston-The Woodlands-Sugar Land, TX",Vietnam,80748,6482592
"Indianapolis-Carmel-Anderson, IN",Vietnam,2370,1968768
"Jacksonville, FL",Vietnam,4231,1424097
"Kansas City, MO-KS",Vietnam,5102,2070147
"Lancaster, PA",Vietnam,2281,533110
"Las Vegas-Henderson-Paradise, NV",Vietnam,7573,2070153
"Lincoln, NE",Vietnam,4082,318820
"Los Angeles-Long Beach-Anaheim, CA",Vietnam,241586,13189366
"Memphis, TN-MS-AR",Vietnam,3161,1341339
"Miami-Fort Lauderdale-West Palm Beach, FL",Vietnam,11370,5926955
"Minneapolis-St. Paul-Bloomington, MN-WI",Vietnam,16204,3488436
"Nashville-Davidson--Murfreesboro--Franklin, TN",Vietnam,2600,1794570
"New Orleans-Metairie, LA",Vietnam,11001,1250247
"New York-Newark-Jersey City, NY-NJ-PA",Vietnam,27176,20031443
"Oklahoma City, OK",Vietnam,10515,1337075
"Olympia-Tumwater, WA",Vietnam,2576,266311
"Orlando-Kissimmee-Sanford, FL",Vietnam,9885,2328508
"Oxnard-Thousand Oaks-Ventura, CA",Vietnam,3192,843110
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Vietnam,26967,6047721
"Phoenix-Mesa-Scottsdale, AZ",Vietnam,16149,4486153
"Portland-Vancouver-Hillsboro, OR-WA",Vietnam,20749,2351319
"Providence-Warwick, RI-MA",Vietnam,2370,1609359
"Raleigh, NC",Vietnam,4408,1243720
"Richmond, VA",Vietnam,4111,1258158
"Riverside-San Bernardino-Ontario, CA",Vietnam,21249,4430646
"Rochester, NY",Vietnam,2662,1082226
"Sacramento--Roseville--Arden-Arcade, CA",Vietnam,24353,2242542
"Salt Lake City, UT",Vietnam,4827,1154504
"San Antonio-New Braunfels, TX",Vietnam,4929,2332345
"San Diego-Carlsbad, CA",Vietnam,36019,3253356
"San Francisco-Oakland-Hayward, CA",Vietnam,61154,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Vietnam,101595,1943107
"Seattle-Tacoma-Bellevue, WA",Vietnam,44463,3671095
"Springfield, MA",Vietnam,2104,629107
"St. Louis, MO-IL",Vietnam,6819,2803449
"Stockton-Lodi, CA",Vietnam,4986,714860
"Tampa-St. Petersburg-Clearwater, FL",Vietnam,11529,2927714
"Tucson, AZ",Vietnam,2616,1003338
"Tulsa, OK",Vietnam,2723,970603
"Urban Honolulu, HI",Vietnam,9209,986999
"Virginia Beach-Norfolk-Newport News, VA-NC",Vietnam,4082,1714428
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Vietnam,49183,6011752
"Wichita, KS",Vietnam,7005,640505
"Worcester, MA-CT",Vietnam,4858,930667
