MetroArea.1.1,MetroArea.1.2,MetroArea.1.3,MetroArea.1.4,MetroArea.1.5,MetroArea.1.6,MetroArea.2.1,MetroArea.2.2,MetroArea.2.3,MetroArea.2.4,TargetEthnicity,EthnicPop,MetroPop
Atlanta,,,,,, GA,,,,Africa,42590,5612777
Baltimore,,,,,, MD,,,,Africa,21659,2780873
Boston,,,,,, MA,,,,Africa,40453,4728844
Charlotte,,,,,, NC,,,,Africa,2061,2381152
Chicago,,,,,, IL,,,,Africa,22783,9528396
Columbus,,,,,, OH,,,,Africa,6625,1995004
Dallas,,,,,, TX,,,,Africa,46587,6957123
Denver,,,,,, CO,,,,Africa,9477,2752056
Houston,,,,,, TX,,,,Africa,47967,6482592
Kansas City,,,,,, MO,,,,Africa,5016,2070147
Las Vegas,,,,,, NV,,,,Africa,7964,2070153
Los Angeles,,,,,, CA,,,,Africa,42644,13189366
Miami,,,,,, FL,,,,Africa,7371,5926955
St. Paul,,,,,, MN,,,,Africa,39030,3488436
Nashville,,,,,, TN,,,,Africa,6958,1794570
New York,,,,,, NY,,,,Africa,110779,20031443
Philadelphia,,,,,, PA,,,,Africa,28487,6047721
Portland,,,,,, OR,,,,Africa,2105,2351319
Providence,,,,,, RI,,,,Africa,17057,1609359
San Diego,,,,,, CA,,,,Africa,4601,3253356
San Francisco,,,,,, CA,,,,Africa,13997,4577530
San Jose,,,,,, CA,,,,Africa,3510,1943107
Seattle,,,,,, WA,,,,Africa,22252,3671095
Tampa,,,,,, FL,,,,Africa,2848,2927714
Washington,,,,,, DC,,,,Africa,101726,6011752
Philadelphia,,,,,, PA,,,,Albania,5126,6047721
Akron,,,,,, OH,,,,Asia (East South and Southeast),3058,703168
Albany,,,,,, NY,,,,Asia (East South and Southeast),7282,879291
Albuquerque,,,,,, NM,,,,Asia (East South and Southeast),2385,904486
Atlanta,,,,,, GA,,,,Asia (East South and Southeast),32740,5612777
Bakersfield,,,,,, CA,,,,Asia (East South and Southeast),2024,871337
Birmingham,,,,,, AL,,,,Asia (East South and Southeast),2577,1141309
Bloomington,,,,,, IN,,,,Asia (East South and Southeast),3695,164330
Boston,,,,,, MA,,,,Asia (East South and Southeast),91567,4728844
Bridgeport,,,,,, CT,,,,Asia (East South and Southeast),6758,941618
Buffalo,,,,,, NY,,,,Asia (East South and Southeast),5270,1135503
Charlotte,,,,,, NC,,,,Asia (East South and Southeast),5956,2381152
Chicago,,,,,, IL,,,,Asia (East South and Southeast),75637,9528396
Cleveland,,,,,, OH,,,,Asia (East South and Southeast),8436,2061630
Columbus,,,,,, OH,,,,Asia (East South and Southeast),11851,1995004
Dallas,,,,,, TX,,,,Asia (East South and Southeast),40802,6957123
Denver,,,,,, CO,,,,Asia (East South and Southeast),12947,2752056
Detroit,,,,,, MI,,,,Asia (East South and Southeast),18091,4296731
Fresno,,,,,, CA,,,,Asia (East South and Southeast),3051,963160
Grand Rapids,,,,,, MI,,,,Asia (East South and Southeast),2504,1028173
Houston,,,,,, TX,,,,Asia (East South and Southeast),63884,6482592
Kansas City,,,,,, MO,,,,Asia (East South and Southeast),6459,2070147
Las Vegas,,,,,, NV,,,,Asia (East South and Southeast),20774,2070153
Lincoln,,,,,, NE,,,,Asia (East South and Southeast),2104,318820
Los Angeles,,,,,, CA,,,,Asia (East South and Southeast),357325,13189366
Madison,,,,,, WI,,,,Asia (East South and Southeast),5881,634269
Manchester,,,,,, NH,,,,Asia (East South and Southeast),2033,404948
Miami,,,,,, FL,,,,Asia (East South and Southeast),20723,5926955
St. Paul,,,,,, MN,,,,Asia (East South and Southeast),16085,3488436
Nashville,,,,,, TN,,,,Asia (East South and Southeast),4667,1794570
New Orleans,,,,,, LA,,,,Asia (East South and Southeast),3176,1250247
New York,,,,,, NY,,,,Asia (East South and Southeast),530262,20031443
Oklahoma City,,,,,, OK,,,,Asia (East South and Southeast),4285,1337075
Omaha,,,,,, NE,,,,Asia (East South and Southeast),2052,904834
Orlando,,,,,, FL,,,,Asia (East South and Southeast),9177,2328508
Oxnard,,,,,, CA,,,,Asia (East South and Southeast),6205,843110
Philadelphia,,,,,, PA,,,,Asia (East South and Southeast),54376,6047721
Phoenix,,,,,, AZ,,,,Asia (East South and Southeast),18636,4486153
Pittsburgh,,,,,, PA,,,,Asia (East South and Southeast),11014,2354926
Portland,,,,,, OR,,,,Asia (East South and Southeast),19119,2351319
Providence,,,,,, RI,,,,Asia (East South and Southeast),7639,1609359
Raleigh,,,,,, NC,,,,Asia (East South and Southeast),8918,1243720
Richmond,,,,,, VA,,,,Asia (East South and Southeast),4580,1258158
Riverside,,,,,, CA,,,,Asia (East South and Southeast),43496,4430646
Rochester,,,,,, NY,,,,Asia (East South and Southeast),5718,1082226
Sacramento,,,,,, CA,,,,Asia (East South and Southeast),34014,2242542
Salt Lake City,,,,,, UT,,,,Asia (East South and Southeast),5182,1154504
San Antonio,,,,,, TX,,,,Asia (East South and Southeast),4864,2332345
San Diego,,,,,, CA,,,,Asia (East South and Southeast),37726,3253356
San Francisco,,,,,, CA,,,,Asia (East South and Southeast),293074,4577530
San Jose,,,,,, CA,,,,Asia (East South and Southeast),112577,1943107
Santa Cruz,,,,,, CA,,,,Asia (East South and Southeast),2089,270931
Santa Maria,,,,,, CA,,,,Asia (East South and Southeast),3355,439395
Santa Rosa,,,,,, CA,,,,Asia (East South and Southeast),2746,497776
Seattle,,,,,, WA,,,,Asia (East South and Southeast),69490,3671095
Springfield,,,,,, MA,,,,Asia (East South and Southeast),3546,629107
St. Louis,,,,,, MO,,,,Asia (East South and Southeast),11041,2803449
Stockton,,,,,, CA,,,,Asia (East South and Southeast),4956,714860
Syracuse,,,,,, NY,,,,Asia (East South and Southeast),3692,660652
Tampa,,,,,, FL,,,,Asia (East South and Southeast),7555,2927714
Trenton,,,,,, NJ,,,,Asia (East South and Southeast),7110,371101
Urban Honolulu,,,,,, HI,,,,Asia (East South and Southeast),23218,986999
Vallejo,,,,,, CA,,,,Asia (East South and Southeast),2768,429596
Newport News,,,,,, VA,,,,Asia (East South and Southeast),5590,1714428
Washington,,,,,, DC,,,,Asia (East South and Southeast),87836,6011752
Atlanta,,,,,, GA,,,,Bangladesh,4879,5612777
Boston,,,,,, MA,,,,Bangladesh,3013,4728844
Chicago,,,,,, IL,,,,Bangladesh,3284,9528396
Dallas,,,,,, TX,,,,Bangladesh,6269,6957123
Houston,,,,,, TX,,,,Bangladesh,3567,6482592
Los Angeles,,,,,, CA,,,,Bangladesh,7252,13189366
Miami,,,,,, FL,,,,Bangladesh,3839,5926955
New York,,,,,, NY,,,,Bangladesh,96168,20031443
Philadelphia,,,,,, PA,,,,Bangladesh,6975,6047721
San Francisco,,,,,, CA,,,,Bangladesh,2294,4577530
Washington,,,,,, DC,,,,Bangladesh,11869,6011752
Boston,,,,,, MA,,,,Bulgaria,2135,4728844
Chicago,,,,,, IL,,,,Bulgaria,10326,9528396
Las Vegas,,,,,, NV,,,,Bulgaria,2604,2070153
Los Angeles,,,,,, CA,,,,Bulgaria,3250,13189366
New York,,,,,, NY,,,,Bulgaria,8086,20031443
San Francisco,,,,,, CA,,,,Bulgaria,2573,4577530
Washington,,,,,, DC,,,,Bulgaria,2623,6011752
Atlanta,,,,,, GA,,,,Burma/Myanmar,3965,5612777
Buffalo,,,,,, NY,,,,Burma/Myanmar,2710,1135503
Chicago,,,,,, IL,,,,Burma/Myanmar,3709,9528396
Dallas,,,,,, TX,,,,Burma/Myanmar,4602,6957123
Fort Wayne,,,,,, IN,,,,Burma/Myanmar,3335,426755
Houston,,,,,, TX,,,,Burma/Myanmar,2489,6482592
Los Angeles,,,,,, CA,,,,Burma/Myanmar,8952,13189366
St. Paul,,,,,, MN,,,,Burma/Myanmar,5302,3488436
New York,,,,,, NY,,,,Burma/Myanmar,8421,20031443
Omaha,,,,,, NE,,,,Burma/Myanmar,2195,904834
San Francisco,,,,,, CA,,,,Burma/Myanmar,10104,4577530
Tulsa,,,,,, OK,,,,Burma/Myanmar,2171,970603
Washington,,,,,, DC,,,,Burma/Myanmar,3023,6011752
Atlanta,,,,,, GA,,,,Cambodia,2536,5612777
Boston,,,,,, MA,,,,Cambodia,12107,4728844
Chicago,,,,,, IL,,,,Cambodia,2318,9528396
Dallas,,,,,, TX,,,,Cambodia,3185,6957123
Fresno,,,,,, CA,,,,Cambodia,2063,963160
Houston,,,,,, TX,,,,Cambodia,3528,6482592
Los Angeles,,,,,, CA,,,,Cambodia,29437,13189366
St. Paul,,,,,, MN,,,,Cambodia,3378,3488436
Modesto,,,,,, CA,,,,Cambodia,2163,530561
New York,,,,,, NY,,,,Cambodia,3449,20031443
Philadelphia,,,,,, PA,,,,Cambodia,7092,6047721
Portland,,,,,, OR,,,,Cambodia,3194,2351319
Providence,,,,,, RI,,,,Cambodia,3469,1609359
Riverside,,,,,, CA,,,,Cambodia,4033,4430646
San Diego,,,,,, CA,,,,Cambodia,3470,3253356
San Francisco,,,,,, CA,,,,Cambodia,4060,4577530
San Jose,,,,,, CA,,,,Cambodia,3339,1943107
Seattle,,,,,, WA,,,,Cambodia,10543,3671095
Stockton,,,,,, CA,,,,Cambodia,4838,714860
Washington,,,,,, DC,,,,Cambodia,4370,6011752
Chicago,,,,,, IL,,,,Croatia,4384,9528396
Cleveland,,,,,, OH,,,,Croatia,2031,2061630
Los Angeles,,,,,, CA,,,,Croatia,2264,13189366
New York,,,,,, NY,,,,Croatia,8567,20031443
Chicago,,,,,, IL,,,,Czech Republic,5204,9528396
Los Angeles,,,,,, CA,,,,Czech Republic,3848,13189366
Miami,,,,,, FL,,,,Czech Republic,2195,5926955
New York,,,,,, NY,,,,Czech Republic,12046,20031443
San Francisco,,,,,, CA,,,,Czech Republic,2265,4577530
Washington,,,,,, DC,,,,Czech Republic,2126,6011752
New York,,,,,, NY,,,,Denmark,2821,20031443
Boston,,,,,, MA,,,,Hmong,7505,4728844
Chicago,,,,,, IL,,,,Hmong,5539,9528396
Dallas,,,,,, TX,,,,Hmong,2345,6957123
Houston,,,,,, TX,,,,Hmong,4665,6482592
Los Angeles,,,,,, CA,,,,Hmong,32664,13189366
Miami,,,,,, FL,,,,Hmong,2178,5926955
New York,,,,,, NY,,,,Hmong,46662,20031443
Philadelphia,,,,,, PA,,,,Hmong,2718,6047721
Riverside,,,,,, CA,,,,Hmong,2456,4430646
Sacramento,,,,,, CA,,,,Hmong,3823,2242542
San Diego,,,,,, CA,,,,Hmong,2897,3253356
San Francisco,,,,,, CA,,,,Hmong,42334,4577530
San Jose,,,,,, CA,,,,Hmong,10878,1943107
Seattle,,,,,, WA,,,,Hmong,7763,3671095
Urban Honolulu,,,,,, HI,,,,Hmong,3509,986999
Washington,,,,,, DC,,,,Hmong,5041,6011752
Akron,,,,,, OH,,,,India,3121,703168
Albany,,,,,, NY,,,,India,5762,879291
Atlanta,,,,,, GA,,,,India,65328,5612777
Bakersfield,,,,,, CA,,,,India,7438,871337
Baltimore,,,,,, MD,,,,India,24519,2780873
Baton Rouge,,,,,, LA,,,,India,2213,824667
Bloomington,,,,,, IL,,,,India,5360,189576
Boston,,,,,, MA,,,,India,49955,4728844
Boulder,,,,,, CO,,,,India,2362,313961
Bridgeport,,,,,, CT,,,,India,12753,941618
Buffalo,,,,,, NY,,,,India,5201,1135503
Charlotte,,,,,, NC,,,,India,22350,2381152
Chicago,,,,,, IL,,,,India,133067,9528396
Cincinnati,,,,,, OH,,,,India,12657,2146410
Cleveland,,,,,, OH,,,,India,10827,2061630
Columbus,,,,,, IN,,,,India,2293,80203
Columbus,,,,,, OH,,,,India,17903,1995004
Dallas,,,,,, TX,,,,India,90384,6957123
Denver,,,,,, CO,,,,India,13254,2752056
Fresno,,,,,, CA,,,,India,13310,963160
Grand Rapids,,,,,, MI,,,,India,2232,1028173
Houston,,,,,, TX,,,,India,79172,6482592
Kansas City,,,,,, MO,,,,India,9560,2070147
Knoxville,,,,,, TN,,,,India,2351,857111
Las Vegas,,,,,, NV,,,,India,5293,2070153
Los Angeles,,,,,, CA,,,,India,85943,13189366
Madison,,,,,, WI,,,,India,3771,634269
Manchester,,,,,, NH,,,,India,4108,404948
Merced,,,,,, CA,,,,India,3149,265001
Miami,,,,,, FL,,,,India,22534,5926955
St. Paul,,,,,, MN,,,,India,26214,3488436
Modesto,,,,,, CA,,,,India,4472,530561
Nashville,,,,,, TN,,,,India,9040,1794570
New Orleans,,,,,, LA,,,,India,2901,1250247
New York,,,,,, NY,,,,India,345130,20031443
Oklahoma City,,,,,, OK,,,,India,4807,1337075
Omaha,,,,,, NE,,,,India,4061,904834
Orlando,,,,,, FL,,,,India,12438,2328508
Oxnard,,,,,, CA,,,,India,8375,843110
Peoria,,,,,, IL,,,,India,3185,379241
Philadelphia,,,,,, PA,,,,India,72673,6047721
Phoenix,,,,,, AZ,,,,India,29859,4486153
Pittsburgh,,,,,, PA,,,,India,11812,2354926
Portland,,,,,, OR,,,,India,13088,2351319
Providence,,,,,, RI,,,,India,6798,1609359
Raleigh,,,,,, NC,,,,India,19480,1243720
Richmond,,,,,, VA,,,,India,10898,1258158
Riverside,,,,,, CA,,,,India,15968,4430646
Rochester,,,,,, NY,,,,India,4283,1082226
Sacramento,,,,,, CA,,,,India,25949,2242542
Salt Lake City,,,,,, UT,,,,India,4738,1154504
San Antonio,,,,,, TX,,,,India,8975,2332345
San Diego,,,,,, CA,,,,India,22010,3253356
San Francisco,,,,,, CA,,,,India,108685,4577530
San Jose,,,,,, CA,,,,India,110449,1943107
Seattle,,,,,, WA,,,,India,56416,3671095
Springfield,,,,,, MA,,,,India,2203,629107
St. Louis,,,,,, MO,,,,India,13554,2803449
Stockton,,,,,, CA,,,,India,11658,714860
Syracuse,,,,,, NY,,,,India,2014,660652
Tallahassee,,,,,, FL,,,,India,2428,376337
Tampa,,,,,, FL,,,,India,18205,2927714
Trenton,,,,,, NJ,,,,India,11834,371101
Vallejo,,,,,, CA,,,,India,2981,429596
Newport News,,,,,, VA,,,,India,3981,1714428
Washington,,,,,, DC,,,,India,93583,6011752
